Txntype,Status,Txnauthid,TxnDateTime,Txnstatus,Error_Type,Errorcode,Error_Msg,Responsecode,Response_Description
APBE,PASS,807211137574,2018-03-13 11:20:40.0,C,-,null,null,00,-
APBE,PASS,807211137575,2018-03-13 11:20:47.0,C,-,null,null,00,-
APBE,PASS,807211137576,2018-03-13 11:20:52.0,C,-,null,null,00,-
APBE,PASS,807211137577,2018-03-13 11:20:58.0,C,-,null,null,00,-
APBE,PASS,807211137578,2018-03-13 11:21:06.0,C,-,null,null,00,-
APBE,PASS,807211137579,2018-03-13 11:21:12.0,C,-,null,null,00,-
APBE,PASS,807211137579,2018-03-13 11:21:12.0,C,-,null,null,00,-
APBE,PASS,807211137579,2018-03-13 11:21:12.0,C,-,null,null,00,-
APBE,PASS,807211137579,2018-03-13 11:21:12.0,C,-,null,null,00,-
APBE,PASS,807211137579,2018-03-13 11:21:12.0,C,-,null,null,00,-
APBE,PASS,807211137579,2018-03-13 11:21:12.0,C,-,null,null,00,-
APBE,PASS,807211137579,2018-03-13 11:21:12.0,C,-,null,null,00,-
APBE,PASS,807211137594,2018-03-13 11:36:50.0,C,-,null,null,00,-
APBE,PASS,807211137595,2018-03-13 11:37:22.0,C,-,null,null,00,-
APBE,PASS,807211137600,2018-03-13 11:58:18.0,C,-,null,null,00,-
APBE,PASS,807212137601,2018-03-13 11:58:55.0,C,-,null,null,00,-
APBE,PASS,807212137602,2018-03-13 11:59:32.0,C,-,null,null,00,-
APBE,PASS,807212137603,2018-03-13 12:00:00.0,C,-,null,null,00,-
APBE,PASS,807212137604,2018-03-13 12:00:28.0,C,-,null,null,00,-
APBE,PASS,807212137605,2018-03-13 12:01:06.0,C,-,null,null,00,-
APBE,PASS,807212137611,2018-03-13 12:18:17.0,C,-,null,null,00,-
APBE,PASS,807212137612,2018-03-13 12:18:23.0,C,-,null,null,00,-
APBE,PASS,807212137613,2018-03-13 12:18:30.0,C,-,null,null,00,-
APBE,PASS,807212137614,2018-03-13 12:18:36.0,C,-,null,null,00,-
APBE,PASS,807212137615,2018-03-13 12:18:42.0,C,-,null,null,00,-
APBE,PASS,807212137616,2018-03-13 12:18:49.0,C,-,null,null,00,-
APBE,PASS,807212137616,2018-03-13 12:18:49.0,C,-,null,null,00,-
APBE,PASS,807212137616,2018-03-13 12:18:49.0,C,-,null,null,00,-
APBE,PASS,807212137616,2018-03-13 12:18:49.0,C,-,null,null,00,-
APBE,PASS,807212137616,2018-03-13 12:18:49.0,C,-,null,null,00,-
APBE,PASS,807212137616,2018-03-13 12:18:49.0,C,-,null,null,00,-
APBE,PASS,807212137616,2018-03-13 12:18:49.0,C,-,null,null,00,-
APBE,PASS,807216137643,2018-03-13 16:16:29.0,C,-,null,null,00,-
APBE,PASS,807216137644,2018-03-13 16:16:54.0,C,-,null,null,00,-
APBE,PASS,807216137645,2018-03-13 16:17:06.0,C,-,null,null,00,-
APBE,PASS,807216137646,2018-03-13 16:17:18.0,C,-,null,null,00,-
APBE,PASS,807216137647,2018-03-13 16:17:36.0,C,-,null,null,00,-
APBE,PASS,807216137648,2018-03-13 16:17:49.0,C,-,null,null,00,-
